Gene	testCode	geneCaptExon	meanDep	maxDep	minDep	10Xcover	20Xcover	50Xcover	100Xcover	200Xcover	500Xcover	1000Xcover
PIK3CA	C1021,DB16,DC16,DG11,E59,Lym79,Lym93,P1021,E73	105.737%	612	907	313	100.00%	100.00%	100.00%	100.00%	100.00%	82.62%	0.00%
PIK3CB	C1021,P1021	100%	547	819	297	100.00%	100.00%	100.00%	100.00%	100.00%	72.58%	0.00%
C11orf30	C1021,P1021	100%	664	910	327	100.00%	100.00%	100.00%	100.00%	100.00%	94.01%	0.00%
PIK3CG	C1021	100%	647	868	287	100.00%	100.00%	100.00%	100.00%	100.00%	90.99%	0.00%
SLC34A2	C1021	23.4234%	368	598	211	100.00%	100.00%	100.00%	100.00%	100.00%	7.66%	0.00%
KDM2B	C1021	95.2381%	373	487	240	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PRF1	C1021	10.6289%	431	532	303	100.00%	100.00%	100.00%	100.00%	100.00%	21.67%	0.00%
SF3A1	C1021	82.3529%	425	506	346	100.00%	100.00%	100.00%	100.00%	100.00%	4.46%	0.00%
FOXQ1	C1021	9.90099%	341	423	250	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CBLB	C1021	47.2441%	373	466	230	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
IGF1R	C1021,P1021	100%	563	836	200	100.00%	100.00%	100.00%	100.00%	99.98%	77.28%	0.00%
STK11	C1021,DB16,E59,P1021,E73,H41,H62,HB23,HD31,HG15,HP16,FC59,FH44,H68,HBO28,HC22,HD32,MC58,MH43,H54	100%	525	675	220	100.00%	100.00%	100.00%	100.00%	100.00%	68.42%	0.00%
DIAPH1	C1021,P1021	85.7143%	383	455	274	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
DYSF	C1021,P1021	81.0811%	366	451	277	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
NUP98	C1021	63.8298%	404	491	302	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
WRN	NA	99.6976%	523	878	253	100.00%	100.00%	100.00%	100.00%	100.00%	58.98%	0.00%
NUP93	NA	69.2913%	390	534	241	100.00%	100.00%	100.00%	100.00%	100.00%	16.95%	0.00%
TCEB1	C1021	62.8272%	309	351	240	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PCSK7	C1021	76.4331%	470	556	335	100.00%	100.00%	100.00%	100.00%	100.00%	41.67%	0.00%
PIK3C2B	C1021	34.3023%	419	543	293	100.00%	100.00%	100.00%	100.00%	100.00%	8.25%	0.00%
PIK3C2A	C1021	95.2381%	433	488	343	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
SNCAIP	C1021	13.7615%	470	543	348	100.00%	100.00%	100.00%	100.00%	100.00%	43.33%	0.00%
PIK3C2G	C1021	95.2381%	439	525	330	100.00%	100.00%	100.00%	100.00%	100.00%	15.83%	0.00%
SMARCD1	NA	80%	401	471	289	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
GALNT12	C1021,H41,H62,HD31,FC59,FH44,H68,HC22,HD32,MC58,MH43,H54	98.6254%	484	700	179	100.00%	100.00%	100.00%	100.00%	98.79%	62.41%	0.00%
CYP3A4	C1021,P1021	68.2692%	399	459	302	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PIK3C3	NA	64.5161%	365	414	281	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
GATA2	C1021	25.4777%	342	457	222	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
GATA3	C1021,Lym79,Lym93,P1021	100%	619	792	408	100.00%	100.00%	100.00%	100.00%	100.00%	89.83%	0.00%
ARID5B	NA	59.2965%	482	605	347	100.00%	100.00%	100.00%	100.00%	100.00%	47.06%	0.00%
MYD88	C1021,Lym79,Lym93,P1021	100%	559	742	247	100.00%	100.00%	100.00%	100.00%	100.00%	80.64%	0.00%
KCNJ5	C1021	12.8068%	461	549	358	100.00%	100.00%	100.00%	100.00%	100.00%	35.83%	0.00%
HNRPDL	C1021	27.088%	370	464	263	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
POU2AF1	C1021	45.1128%	447	554	323	100.00%	100.00%	100.00%	100.00%	100.00%	26.67%	0.00%
CCND1	C1021,DB16,E59,Lym79,Lym93,P1021,E73	100%	564	752	280	100.00%	100.00%	100.00%	100.00%	100.00%	80.52%	0.00%
WHSC1	C1021,Lym79,Lym93	71.8563%	439	558	261	100.00%	100.00%	100.00%	100.00%	100.00%	37.50%	0.00%
CCND3	C1021,Lym79,Lym93,P1021	100%	501	660	260	100.00%	100.00%	100.00%	100.00%	100.00%	46.61%	0.00%
CCND2	C1021,Lym79,Lym93,P1021	100%	564	695	202	100.00%	100.00%	100.00%	100.00%	100.00%	91.43%	0.00%
ERBB2	C1021,DB16,DC16,DG11,E59,P1021,E73	100%	587	756	288	100.00%	100.00%	100.00%	100.00%	100.00%	84.37%	0.00%
AKAP9	C1021	5.02513%	480	587	331	100.00%	100.00%	100.00%	100.00%	100.00%	43.33%	0.00%
CD33	C1021	70.1754%	418	532	256	100.00%	100.00%	100.00%	100.00%	100.00%	16.67%	0.00%
PTEN	C1021,DB16,DC16,E59,Lym79,Lym93,P1021,E73,H41,H62,HB23,HD31,FC59,FH44,H68,HBO28,HC22,HD32,HR14,MC58,MH43,H54	100%	585	724	337	100.00%	100.00%	100.00%	100.00%	100.00%	87.71%	0.00%
TCF12	C1021	51.5021%	481	600	324	100.00%	100.00%	100.00%	100.00%	100.00%	45.00%	0.00%
NTHL1	C1021,FC59,FH44,H68,HC22,HD32,MC58,MH43	100%	520	654	247	100.00%	100.00%	100.00%	100.00%	100.00%	67.72%	0.00%
LZTS1	C1021	14.9254%	356	438	238	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PLXNA1	C1021,P1021	10.0503%	352	434	259	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CTCF	C1021,P1021	100%	662	851	425	100.00%	100.00%	100.00%	100.00%	100.00%	94.62%	0.00%
IL7R	C1021,P1021	100%	544	752	261	100.00%	100.00%	100.00%	100.00%	100.00%	68.08%	0.00%
TNFSF11	NA	28.436%	391	497	273	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
RASGRP1	C1021	77.9221%	321	396	230	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
MMP11	C1021	52.1739%	456	539	326	100.00%	100.00%	100.00%	100.00%	100.00%	28.33%	0.00%
ACVR1B	C1021	100%	624	908	196	100.00%	100.00%	100.00%	100.00%	99.82%	90.91%	0.00%
CDKN1B	C1021,P1021,H41,H62,HE15,FC59,H68,MC58,H54	100%	659	817	424	100.00%	100.00%	100.00%	100.00%	100.00%	93.82%	0.00%
CDKN1A	C1021,P1021	100%	628	808	345	100.00%	100.00%	100.00%	100.00%	100.00%	87.32%	0.00%
UBE2D2	C1021	100%	371	425	310	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
RIT1	C1021	51.9481%	471	569	323	100.00%	100.00%	100.00%	100.00%	100.00%	34.17%	0.00%
MLL3	C1021,P1021	99.7353%	701	3334	270	100.00%	100.00%	100.00%	100.00%	100.00%	85.64%	5.35%
MLL2	C1021,Lym79,Lym93	100.722%	624	906	136	100.00%	100.00%	100.00%	100.00%	99.79%	89.37%	0.00%
ACVRL1	C1021	60.6061%	407	479	309	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
BRD3	C1021,P1021	74.4577%	461	701	175	100.00%	100.00%	100.00%	100.00%	99.35%	31.12%	0.00%
SETBP1	C1021	5.88235%	389	512	244	100.00%	100.00%	100.00%	100.00%	100.00%	3.75%	0.00%
MLL4	C1021,P1021	43.4783%	430	515	332	100.00%	100.00%	100.00%	100.00%	100.00%	13.33%	0.00%
TMEM132D	C1021,P1021	13.4983%	363	464	214	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
BAZ2B	C1021	19.7694%	411	466	338	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
APOBEC3B	C1021	40.678%	628	773	391	100.00%	100.00%	100.00%	100.00%	100.00%	85.83%	0.00%
XPO1	C1021,Lym79,Lym93,P1021	100%	592	833	301	100.00%	100.00%	100.00%	100.00%	100.00%	85.22%	0.00%
SOX10	C1021	44.6097%	460	563	320	100.00%	100.00%	100.00%	100.00%	100.00%	35.00%	0.00%
CCT3	C1021,P1021	100%	476	543	394	100.00%	100.00%	100.00%	100.00%	100.00%	37.35%	0.00%
ARID2	C1021	99.4553%	676	939	327	100.00%	100.00%	100.00%	100.00%	100.00%	90.45%	0.00%
NRAS	C1021,DC16,DG11,E59,P1021,E73	130%	595	752	225	100.00%	100.00%	100.00%	100.00%	100.00%	91.64%	0.00%
CCT5	C1021	64.5161%	360	439	237	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
EPPK1	C1021	1.65221%	1641	1978	1197	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
JAK2	C1021,E59,Lym79,Lym93,P1021,E73	105.531%	555	746	255	100.00%	100.00%	100.00%	100.00%	100.00%	75.13%	0.00%
JAK3	C1021,Lym79,Lym93,P1021	100%	542	782	189	100.00%	100.00%	100.00%	100.00%	99.85%	74.01%	0.00%
H3F3A	C1021	93.75%	455	539	363	100.00%	100.00%	100.00%	100.00%	100.00%	24.17%	0.00%
JAK1	C1021,Lym79,Lym93,P1021	100%	581	836	196	100.00%	100.00%	100.00%	100.00%	99.97%	82.00%	0.00%
OPCML	C1021	51.5021%	379	485	252	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
GRM3	C1021	100%	685	853	302	100.00%	100.00%	100.00%	100.00%	100.00%	94.40%	0.00%
FAM123B	C1021	97.7993%	363	451	252	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TMEM127	C1021,H62,HE15,FC59,H68,MC58,H54	100%	615	770	418	100.00%	100.00%	100.00%	100.00%	100.00%	87.08%	0.00%
KCNQ2	C1021,P1021	53.5714%	443	545	296	100.00%	100.00%	100.00%	100.00%	100.00%	28.33%	0.00%
BLM	C1021,H41,H62,HD31,FC59,FH44,H68,HC22,HD32,MC58,MH43,H54	99.906%	541	815	274	100.00%	100.00%	100.00%	100.00%	100.00%	65.58%	0.00%
CUX1	C1021	23.7389%	360	500	203	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
HOXC13	C1021	46.6926%	387	463	282	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
HSPH1	C1021	57.971%	438	539	315	100.00%	100.00%	100.00%	100.00%	100.00%	25.83%	0.00%
VEGFA	C1021,P1021	100.715%	514	679	251	100.00%	100.00%	100.00%	100.00%	100.00%	60.11%	0.00%
MSH6	C1021,DC16,E59,P1021,E73,C1021,H41,H62,HB23,HD31,HG15,HP16,FC59,FH44,H68,HBO28,HC22,HD32,HR14,LS5,MC58,MH43,H54	100%	736	952	363	100.00%	100.00%	100.00%	100.00%	100.00%	96.09%	0.00%
PPP1R17	C1021,P1021	78.4314%	387	451	303	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
INPPL1	C1021	76.9231%	380	459	263	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
HMCN1	C1021,P1021	50.4202%	464	556	340	100.00%	100.00%	100.00%	100.00%	100.00%	37.50%	0.00%
ING1	C1021	17.0455%	460	574	289	100.00%	100.00%	100.00%	100.00%	100.00%	35.00%	0.00%
PSIP1	C1021,P1021	56.0748%	406	489	300	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CSNK1A1	C1021	85.7143%	447	549	349	100.00%	100.00%	100.00%	100.00%	100.00%	25.83%	0.00%
BCL2A1	C1021	28.5714%	361	446	271	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
SRD5A2	C1021	79.4702%	446	514	373	100.00%	100.00%	100.00%	100.00%	100.00%	13.33%	0.00%
CBL	C1021,P1021	100%	569	753	293	100.00%	100.00%	100.00%	100.00%	100.00%	78.22%	0.00%
GPX1	C1021	33.3333%	337	427	217	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PRDM1	C1021,Lym79,Lym93	100%	682	863	367	100.00%	100.00%	100.00%	100.00%	100.00%	97.51%	0.00%
SLC22A2	C1021	55.7292%	383	486	255	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
SLC22A3	C1021	77.4194%	506	621	378	100.00%	100.00%	100.00%	100.00%	100.00%	52.50%	0.00%
HLF	C1021	55.5556%	463	537	341	100.00%	100.00%	100.00%	100.00%	100.00%	27.50%	0.00%
FLNC	C1021,P1021	34.0909%	366	466	237	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
C8orf34	C1021	71.8563%	422	485	364	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
EIF4A2	NA	78.1991%	384	506	264	100.00%	100.00%	100.00%	100.00%	100.00%	2.11%	0.00%
MYH11	C1021	56.338%	452	567	317	100.00%	100.00%	100.00%	100.00%	100.00%	37.50%	0.00%
MAP3K1	C1021,P1021	98.2816%	619	990	305	100.00%	100.00%	100.00%	100.00%	100.00%	85.09%	0.00%
MYH14	C1021	57.4163%	424	518	299	100.00%	100.00%	100.00%	100.00%	100.00%	20.00%	0.00%
GIGYF1	C1021,P1021	70.1754%	383	457	293	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
POLQ	C1021	3.86225%	410	490	292	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
SMAD4	C1021,H41,H62,HD31,HG15,HP16,FC59,FH44,H68,HC22,HD32,MC58,MH43,H54	98.9753%	589	754	336	100.00%	100.00%	100.00%	100.00%	100.00%	90.32%	0.00%
PAG1	C1021	19.9336%	371	482	247	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TLE1	C1021,P1021	100%	420	498	328	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
HIST1H2BC	C1021	31.4961%	380	445	310	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
SRGAP1	C1021	88.8889%	427	528	305	100.00%	100.00%	100.00%	100.00%	100.00%	15.00%	0.00%
SRGAP3	C1021	36.5854%	402	478	284	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
MIB1	C1021	58.5366%	386	472	292	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
SPTA1	C1021,P1021	59.1133%	390	515	222	100.00%	100.00%	100.00%	100.00%	100.00%	7.08%	0.00%
POLE	C1021,P1021,H41,H62,HD31,FC59,FH44,H68,HC22,HD32,MC58,MH43,H54	100%	579	766	252	100.00%	100.00%	100.00%	100.00%	100.00%	80.71%	0.00%
ARFGEF2	C1021	70.5882%	371	456	260	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TRIM58	C1021,P1021	51.9481%	418	514	268	100.00%	100.00%	100.00%	100.00%	100.00%	19.17%	0.00%
REL	C1021	83.9161%	478	582	334	100.00%	100.00%	100.00%	100.00%	100.00%	34.17%	0.00%
FH	C1021,H41,H62,FC59,H68,HR14,MC58,H54	100%	628	772	355	100.00%	100.00%	100.00%	100.00%	100.00%	93.58%	0.00%
IGF2R	C1021	54.7945%	399	494	290	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
COL2A1	C1021	49.3827%	448	555	330	100.00%	100.00%	100.00%	100.00%	100.00%	31.67%	0.00%
SPSB4	C1021	17.2911%	329	403	230	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
NCOA3	NA	78.3051%	573	710	345	100.00%	100.00%	100.00%	100.00%	100.00%	80.95%	0.00%
TLL2	C1021	100%	374	447	258	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
HIST1H2BO	C1021	31.4961%	517	624	379	100.00%	100.00%	100.00%	100.00%	100.00%	57.50%	0.00%
NCOA4	C1021	41.6667%	377	449	286	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ASPM	C1021	8.10811%	502	589	382	100.00%	100.00%	100.00%	100.00%	100.00%	50.83%	0.00%
NR2F2	C1021	22.7273%	353	433	236	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
RET	C1021,E59,P1021,E73,H41,H62,HE15,FC59,H68,MC58,H54	102.003%	630	916	268	100.00%	100.00%	100.00%	100.00%	100.00%	88.06%	0.00%
RBM10	C1021	98.2932%	291	445	127	100.00%	100.00%	100.00%	100.00%	89.93%	0.00%	0.00%
CDH18	C1021,P1021	24.4399%	336	419	228	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
BRWD1	C1021	79.4702%	419	481	335	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PRDM16	C1021	70.5882%	343	422	255	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
LAMA2	C1021	75%	435	526	331	100.00%	100.00%	100.00%	100.00%	100.00%	15.83%	0.00%
EPAS1	C1021	100.038%	562	787	284	100.00%	100.00%	100.00%	100.00%	100.00%	73.41%	0.00%
FCGR3A	C1021,P1021	57.2581%	693	992	357	100.00%	100.00%	100.00%	100.00%	100.00%	79.24%	0.00%
SULT1A1	C1021	66.2983%	317	411	197	100.00%	100.00%	100.00%	100.00%	99.17%	0.00%	0.00%
RXRA	C1021	66.6667%	415	513	291	100.00%	100.00%	100.00%	100.00%	100.00%	10.00%	0.00%
LYN	C1021	77.9221%	453	549	325	100.00%	100.00%	100.00%	100.00%	100.00%	35.00%	0.00%
FRMPD4	C1021,P1021	9.30233%	230	287	153	100.00%	100.00%	100.00%	100.00%	77.50%	0.00%	0.00%
SH2B3	NA	25.4425%	401	506	276	100.00%	100.00%	100.00%	100.00%	100.00%	2.61%	0.00%
MAX	C1021,H62,HE15,FC59,H68,MC58,H54	100%	458	565	265	100.00%	100.00%	100.00%	100.00%	100.00%	35.66%	0.00%
LEF1	C1021	73.6196%	319	408	205	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PTPRD	C1021,P1021	100%	602	844	291	100.00%	100.00%	100.00%	100.00%	100.00%	83.17%	0.00%
YAP1	NA	50.2092%	438	507	311	100.00%	100.00%	100.00%	100.00%	100.00%	7.50%	0.00%
CYP2C8	C1021	66.6139%	426	538	296	100.00%	100.00%	100.00%	100.00%	100.00%	8.29%	0.00%
ZNF638	C1021	40.1338%	424	546	289	100.00%	100.00%	100.00%	100.00%	100.00%	19.17%	0.00%
ALK	C1021,E59,Lym79,Lym93,P1021,E73	100.206%	583	835	148	100.00%	100.00%	100.00%	100.00%	99.47%	79.19%	0.00%
BMPR1A	C1021,H41,H62,HD31,HG15,HP16,FC59,FH44,H68,HC22,HD32,MC58,MH43,H54	100%	617	940	246	100.00%	100.00%	100.00%	100.00%	100.00%	83.73%	0.00%
F8	C1021,P1021	3.86349%	236	278	194	100.00%	100.00%	100.00%	100.00%	88.33%	0.00%	0.00%
IL21R	C1021	16%	436	555	284	100.00%	100.00%	100.00%	100.00%	100.00%	22.50%	0.00%
ALB	C1021	53.125%	461	580	320	100.00%	100.00%	100.00%	100.00%	100.00%	36.67%	0.00%
MAP2K1	C1021,E59,Lym79,Lym93,P1021,E73	100%	470	595	239	100.00%	100.00%	100.00%	100.00%	100.00%	40.32%	0.00%
TP73	C1021	87.2841%	465	666	163	100.00%	100.00%	100.00%	100.00%	99.58%	42.80%	0.00%
TAF1L	C1021	2.18938%	603	699	433	100.00%	100.00%	100.00%	100.00%	100.00%	85.83%	0.00%
SI	C1021,P1021	77.4194%	384	440	288	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
NTM	C1021,P1021	99.1736%	283	332	210	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ATP1A1	C1021	44.6097%	381	473	240	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PBRM1	C1021	99.3262%	551	777	241	100.00%	100.00%	100.00%	100.00%	100.00%	69.72%	0.00%
CUL3	C1021	100%	561	741	268	100.00%	100.00%	100.00%	100.00%	100.00%	69.78%	0.00%
G3BP2	C1021	43.956%	529	661	372	100.00%	100.00%	100.00%	100.00%	100.00%	62.50%	0.00%
ATP11B	C1021	68.1818%	396	448	330	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
H3F3B	NA	71.4286%	472	556	360	100.00%	100.00%	100.00%	100.00%	100.00%	42.73%	0.00%
DHX9	C1021,P1021	34.0909%	417	511	296	100.00%	100.00%	100.00%	100.00%	100.00%	8.33%	0.00%
EEF1A1	C1021,P1021	83.3333%	389	451	305	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
EGFR	C1021,DC16,E59,P1021,E73	105.23%	566	863	243	100.00%	100.00%	100.00%	100.00%	100.00%	75.47%	0.00%
CTNNB1	C1021,E59,P1021,E73	100%	575	801	371	100.00%	100.00%	100.00%	100.00%	100.00%	77.80%	0.00%
PLCG2	C1021,Lym79,Lym93	64.8649%	403	551	245	100.00%	100.00%	100.00%	100.00%	100.00%	12.92%	0.00%
PLCG1	C1021	63.8298%	460	554	348	100.00%	100.00%	100.00%	100.00%	100.00%	38.33%	0.00%
ERG	C1021,P1021	100%	604	797	376	100.00%	100.00%	100.00%	100.00%	100.00%	84.00%	0.00%
MITF	C1021,P1021	99.936%	563	809	207	100.00%	100.00%	100.00%	100.00%	100.00%	65.39%	0.00%
C15orf55	C1021	16.9252%	437	531	323	100.00%	100.00%	100.00%	100.00%	100.00%	15.83%	0.00%
HOXD11	C1021	15.3649%	321	422	227	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
OR11G2	C1021	23.1214%	401	526	275	100.00%	100.00%	100.00%	100.00%	100.00%	11.25%	0.00%
ASXL1	C1021	99.7406%	663	879	271	100.00%	100.00%	100.00%	100.00%	100.00%	89.63%	0.00%
RPTOR	C1021,P1021	100%	474	680	218	100.00%	100.00%	100.00%	100.00%	100.00%	46.73%	0.00%
EPS15	C1021	60.6061%	505	602	365	100.00%	100.00%	100.00%	100.00%	100.00%	54.17%	0.00%
MYOD1	NA	19.0476%	349	407	253	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
DPYD	C1021,E73	62.8571%	523	770	281	100.00%	100.00%	100.00%	100.00%	100.00%	50.23%	0.00%
MAD1L1	C1021	62.8272%	387	473	279	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CDK13	C1021,P1021	80.1916%	595	860	232	100.00%	100.00%	100.00%	100.00%	100.00%	77.98%	0.00%
CHI3L1	C1021,P1021	55.5241%	412	558	259	100.00%	100.00%	100.00%	100.00%	100.00%	15.82%	0.00%
HNF1B	NA	68.323%	405	458	317	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
XPC	C1021	17.0754%	391	473	283	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
GPR124	C1021	55.2995%	356	441	262	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
HNF1A	C1021	99.0506%	606	790	380	100.00%	100.00%	100.00%	100.00%	100.00%	92.32%	0.00%
PGR	C1021	39.2157%	418	512	277	100.00%	100.00%	100.00%	100.00%	100.00%	9.17%	0.00%
SLIT2	C1021	69.7322%	384	552	231	100.00%	100.00%	100.00%	100.00%	100.00%	10.50%	0.00%
SLIT1	C1021	83.3333%	359	461	237	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CXCR4	Lym79,Lym93	22.9885%	419	529	278	100.00%	100.00%	100.00%	100.00%	100.00%	9.17%	0.00%
MNDA	C1021	28.777%	434	513	321	100.00%	100.00%	100.00%	100.00%	100.00%	6.67%	0.00%
NLRC3	C1021,P1021	6.85714%	332	404	244	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CNOT4	C1021,P1021	39.7351%	392	466	299	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ITGB3	C1021	27.907%	399	444	339	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
WNK1	C1021	75.9494%	425	529	297	100.00%	100.00%	100.00%	100.00%	100.00%	17.50%	0.00%
SF3B1	C1021,Lym79,Lym93,P1021	100%	620	877	324	100.00%	100.00%	100.00%	100.00%	100.00%	85.71%	0.00%
MDC1	NA	4.84262%	402	458	337	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
P2RY8	C1021	11.1111%	426	521	305	100.00%	100.00%	100.00%	100.00%	100.00%	15.00%	0.00%
SUFU	C1021,GO2	99.7938%	536	823	238	100.00%	100.00%	100.00%	100.00%	100.00%	59.84%	0.00%
HGF	C1021,P1021	100%	529	810	265	100.00%	100.00%	100.00%	100.00%	100.00%	63.45%	0.00%
LCP1	C1021	89.5522%	536	612	426	100.00%	100.00%	100.00%	100.00%	100.00%	77.50%	0.00%
INPP4A	C1021	90.2256%	408	499	294	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
NRP2	C1021	39.3443%	520	624	349	100.00%	100.00%	100.00%	100.00%	100.00%	65.83%	0.00%
HOXB13	C1021,H41,H62,H68,HPro6,MC58,MH43,H54	100%	659	765	525	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%
TCL1A	C1021	67.7966%	360	421	262	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
KIF5B	C1021,P1021	47.7612%	473	608	336	100.00%	100.00%	100.00%	100.00%	100.00%	37.27%	0.00%
E2F3	NA	60.8142%	467	582	280	100.00%	100.00%	100.00%	100.00%	100.00%	26.36%	0.00%
NCK1	C1021	16.8303%	336	382	265	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
